Title,description,authors,publisher,publishedDate,categories,Id,User_id,review/helpfulness,review/score,review/time,review/summary,review/text,year,language
It Had to Be You,"“A wedding planner dies and leaves the business to his wife—and his mistress. What could possibly go wrong? A charming rom-com to kick off your summer.”—People An Elin Hilderbrand Entertainment Weekly Summer Reading Pick “The book-equivalent of a perfect first date... Highly highly recommend.” —Elin Hilderbrand, #1 New York Times bestselling author “A heady kaleidoscope of romance, heartbreak, and healing that’s both rich in insight and enchantingly funny.” —Fiona Davis, New York Times bestselling author The author of the “emotional, hilarious, and thought-provoking” (People) novel The Bucket List returns with a witty and heartfelt romantic comedy featuring a wedding planner, her unexpected business partner, and their coworkers in a series of linked love stories—perfect for fans of Christina Lauren and Casey McQuiston. For the past twenty years, Liv and Eliot Goldenhorn have run In Love in New York, Brooklyn’s beloved wedding-planning business. When Eliot dies unexpectedly, he even more unexpectedly leaves half of the business to his younger, blonder girlfriend, Savannah. Liv and Savannah are not a match made in heaven, to say the least. But what starts as a personal and professional nightmare transforms into something even savvy, cynical Liv Goldenhorn couldn’t begin to imagine. It Had to Be You cleverly unites Liv, Savannah, and couples as diverse and unique as New York City itself, in a joyous Love-Actually-style braided narrative. The result is a smart, modern love story that truly speaks to our times. Second chances, secret romance, and steamy soul mates are front and center in this sexy, tender, and utterly charming rom-com that is “so much fun” (Casey McQuiston, New York Times bestselling author).",['Georgia Clark'],Simon and Schuster,2021-05-04,['Fiction'],1575668904,A2VMOBY7OG70AO,6/6,5.0,1051315200,A book 2Di4!,"When I read ""He's the One,"" by Timothy James Beck, there was a character introduced that I was dying to learn more about: Daniel Stephenson. He had a realistic past, I identified with him a lot more than the main protagonist of ""He's the One,"" and moreover, he was just a wonderfully developed secondary character with some great stuff in his written past.Now I know why.Turns out that ""It Had to be You,"" is the story of Daniel Stephenson, getting up to just about the point where he's in in ""He's the One."" This was great, even if I did already know the ending as I'd read them out of order. Daniel is an easy-to-identify-with character for me (no buff jock, just a slim guy; no massively successful job, just an entry level second-attempt-at-a-career). He's still hurt over the betrayal of his last boyfriend, still a little damaged over the revelation that yet another friend is slowly dying of AIDS, and just about ripe for falling head over heels with the hunky guy across the street. Basically, he's a knight in slightly tarnished and dented armor (or at least a sequined gown).The trouble being that the guy across the street lives with a woman, seems about as straight as they come, and probably won't react well to Daniel's previous career as a female impersonator who mostly did Lady 2Di4, a Princess Diana tribute. Uh oh.The wit is just as sharp in this one as in ""He's the One,"" - and just as often nicely balanced with some poignancy that doesn't over-sweeten to saccharine levels. And I must say I am now a firm fan of all things Timothy James Beck. I really hope to see more books out of him.'Nathan",2021,en
Finnegan's Wake,"A daring work of experimental, Modernist genius, James Joyce's Finnegans Wake is one of the greatest literary achievements of the twentieth century, and the crowning glory of Joyce's life. The Penguin Modern Classics edition of includes an introduction by Seamus Deane 'riverrun, past Eve and Adam's, from swerve of shore to bend of bay, brings us by a commodius vicus of recirculation back to Howth Castle and Environs' Joyce's final work, Finnegan's Wake is his masterpiece of the night as Ulysses is of the day. Supreme linguistic virtuosity conjures up the dark underground worlds of sexuality and dream. Joyce undermines traditional storytelling and all official forms of English and confronts the different kinds of betrayal - cultural, political and sexual - that he saw at the heart of Irish history. Dazzlingly inventive, with passages of great lyrical beauty and humour, Finnegans Wake remains one of the most remarkable works of the twentieth century. James Joyce (1882-1941), the eldest of ten children, was born in Dublin, but exiled himself to Paris at twenty as a rebellion against his upbringing. He only returned to Ireland briefly from the continent but Dublin was at heart of his greatest works, Ulysses and Finnegans Wake. He lived in poverty until the last ten years of his life and was plagued by near blindness and the grief of his daughter's mental illness. If you enjoyed Finnegans Wake, you might like Virginia Woolf's The Waves, also available in Penguin Classics. 'An extraordinary performance, a transcription into a miniaturized form of the whole western literary tradition' Seamus Deane",['James Joyce'],Penguin UK,2015-06-25,['Fiction'],B000I1V51Y,A3AQDQPQZP7Q94,9/13,5.0,1120435200,not yet finished.,"i haven't yet finished my first read through of this book, but even now i think it's fair to say that this is an amazing piece of work. i just want to reiterate what a couple of people have said. firstly this is not literature, as such, it shares far more with music than it does with literature, and secondly, it should be read as you would listen to music, letting it wash over you, not trying to control any of it, not trying to realize what is happening. you should realize that after a while things will make sense, and even if the book never makes sense to you entirely it doesn't matter. to view this book as beautiful nonsense does no disservice to it, i think, because it is definitely the ultimate in beautiful nonsense if that's the way you want to see it.and really, if you're going to write this off as gibberish, realize the man spent 17 years of his life perfecting this book. he went blind while writing it. his daughter was put into a mental asylum and europe was in the begining throes of world war II and still he wrote this book. more work has been lovingly poured into these pages than most writers put into their entire career. if you don't like it, fine, but calling this book gibberish is doing a huge disservice to the author and only making yourself look stupid. just say you don't like it, that's all you need to say.",2015,en
The Martian Chronicles,"The tranquility of Mars is disrupted by humans who want to conquer space, colonize the planet, and escape a doomed Earth.",['Ray Bradbury'],Simon and Schuster,2012-04-17,['Fiction'],B000NLWCE8,A2K29Y1EDOJ5EK,0/2,5.0,1031788800,Timeless magic....,"Timeless magic, absolutely perfect, 1 of the 5 greatest books of all time; many of the stories collected here R 5-star worthy (in no particular order: &quot;The Silent Towns,&quot; &quot;The Long Years,&quot; &quot;The Off Season,&quot; &quot;Night Meeting,&quot; &quot;The Third Expedition&quot; -- also known as &quot;Mars is Heaven!&quot; -- &quot;The Moon Be Still as Bright,&quot; &quot;There Will Come Soft Rains,&quot; &quot;The Million-Year Picnic,&quot; I'm sure I'm 4getting a couple) -- &amp; the whole is permeated with the eerie dark-nite atmosphere of past-meeting-future that was Bradbury's Mars. The 1st SF book I ever read; even if U've been reading SF 4 years &amp; have never read this, don't worry about it Cming &quot;old&quot; or &quot;hokey&quot; -- I don't think it's dated a bit. There's a lot more here than just nostalgia....",2012,en
"Lord of the Flies, a Novel","Nog altijd even opwindend en tot nadenken stemmend als toen het in 1954 verscheen, schept 'Heer van de vliegen' een gewelddadig, treff end beeld van de menselijke natuur, en wat er met deze gebeurt als de beschaving ten onder gaat. Een groep schooljongens stort neer op een onbewoond eiland. Zonder ouders of ander volwassen toezicht moeten ze met elkaar samenwerken om te overleven, waar ze jammerlijk in falen. Hun strijd om het bestaan krijgt geleidelijk steeds meer barbaarse trekken. Heer van de vliegen werd bij verschijning met lof overladen, maar commercieel succes bleef in eerste instantie uit. Geleidelijk aan werd het echter een cult-favoriet onder studenten en critici, en werd het vaak vergeleken met Salingers De vanger in het graan wat betreft invloed op de moderne literatuur.",['William Golding'],LJ Veen Klassiek,2016-03-11,['Fiction'],B000FML2C8,A2BTTP7LS8OI6X,0/1,4.0,1013126400,Evil Seed of Sin Debases Innocence,"After a plane full of schoolchildren escaping the horrors of post-atomic age Europe crash on a remote, hungle island, a series of debates, alliances, counteralliances, and hiearchies are established to create a rule of law and standards. However, once fear and psychological symbolism enters the picture, all is changes and this budding society of big-uns and little-uns, ranging from 6-12 year olds becomes encapsulated by an air of sadistic fog.Centering around the three main characters of Ralph, the elected conch-wielding leader, Piggy, the smart logical analytical scientist in the making, and Jack the hunter-gatherer adventurer full of blood-gutting passionate zeil. With these forceful characters in tow a series of events sets off a power-struggle that eventually yields to the emotional, non-rational, jumpy aspect of the human flesh in the name of Jack and his paint covered warriors gaining logistical control of the Island.After two viscious and violent deaths set off by stressful paronoia centered around the chances of getting rescued, the necessity to hunt for survival, mysterious forces and animals inhabiting the island (actually a dead human crashed by parachute), and the need to have a source of fire (i.e. Piggy's glasses), the death of Simon, who became possessed by the Lord of the Flies, an analogy to the dark side of human's dementia, he is killed in a frenzy after taking cover and protection inside the parachute layer. Afterwards, once Piggy seeks to reclaim his stolen glasses he is killed by Roger, a devious mischief maker.In the end, they are saved by a captain whose astonished when they admit to the death of two of their peers. Just as the Heart of Darkness revealed the dark forces unleashed by economic and resourceful greed, the Lord of the Flies showcases how this could come about from attention hording 12 years olds seeking to assert their status as leader and autocratic figure.",2016,en
"Undaunted Courage: Meriwether Lewis, Thomas Jefferson, and the Opening of the American West","From the New York Times bestselling author of Band of Brothers and D-Day, the definitive book on Lewis and Clark’s exploration of the Louisiana Purchase, the most momentous expedition in American history and one of the great adventure stories of all time. In 1803 President Thomas Jefferson selected his personal secretary, Captain Meriwether Lewis, to lead a voyage up the Missouri River to the Rockies, over the mountains, down the Columbia River to the Pacific Ocean, and back. Lewis and his partner, Captain William Clark, made the first map of the trans-Mississippi West, provided invaluable scientific data on the flora and fauna of the Louisiana Purchase territory, and established the American claim to Oregon, Washington, and Idaho. Ambrose has pieced together previously unknown information about weather, terrain, and medical knowledge at the time to provide a vivid backdrop for the expedition. Lewis is supported by a rich variety of colorful characters, first of all Jefferson himself, whose interest in exploring and acquiring the American West went back thirty years. Next comes Clark, a rugged frontiersman whose love for Lewis matched Jefferson’s. There are numerous Indian chiefs, and Sacagawea, the Indian girl who accompanied the expedition, along with the French-Indian hunter Drouillard, the great naturalists of Philadelphia, the French and Spanish fur traders of St. Louis, John Quincy Adams, and many more leading political, scientific, and military figures of the turn of the century. High adventure, high politics, suspense, drama, and diplomacy combine with high romance and personal tragedy to make this outstanding work of scholarship as readable as a novel.",['Stephen E. Ambrose'],Simon and Schuster,2013-04-23,['History'],B000N7ASGQ,A37DTO57JS15PX,4/5,3.0,1268092800,A Little Disappointing,"Not long ago, I visited Oregon and some of the places where Lewis and Clark ended their journey across the continent, which made me want to read more about the expedition. All roads seemed to lead to this recent work from Stephen Ambrose, so I picked it up.I have to say that I was a little disappointed. First, it's as if Ambrose couldn't quite decide if he wanted to write a biography of Meriwether Lewis or a history of the Lewis and Clark expedition. The story of the expedition is couched within a proto-biography of Lewis' early and late life. There isn't enough there to really consider it a Lewis biography, and I think that the work would probably have been better if Ambrose had either left this material out, or greatly reduced it. Clark isn't profiled in this way, and Ambrose seems to lament in the introduction that someone has already beaten him to the punch with Clark.Second, the writing is very workmanlike. The writing isn't bad, but it's not great either. The narrative is very slow in the beginning, but picks up steam as the expedition actually gets underway; however, none of it was especially captivating to me.Third, Ambrose gets repetitious with ""firsts,"" some of which are of dubious validity. Fairly early in the expedition, Ambrose treats us to a series of ""Lewis and Clark were the first to do X"" statements about every third page. Some are undoubtedly true, but others--such as Lewis and Clark holding the first vote west of the Mississippi, or being the first Americans to see a coyote, despite over 10,000 Americans living in Missouri when Lewis Clark got there--are probably not true, or simply can't be known to be true.I was disappointed because I really wanted to like this book. I didn't dislike it, but it's completely average. I've read several other books by Ambrose, and this was disappointing by that standard. Ambrose wasn't necessarily a great writer of history, but he was a great popularizer of history, which is certainly important. While Undaunted Courage isn't bad, I'm certain that there has to be a more exciting story in the Lewis and Clark expedition than that offered here.",2013,en
Arthur & George (Sound Library),"Hank Morgan, a mechanic at a gun factory, is knocked unconscious and wakes up in England in the year 528. After he is captured and taken to Camelot, he is put before the knights of King Arthur’s Round Table where he is condemned to death. However, he remembers having read of an eclipse on the day of his execution and he astonishes the court by predicting the phenomenon. Hank is made minister to the ineffectual king and in an effort to bring democratic principles and mechanical knowledge to the kingdom, he strings telephone wire, starts schools, trains mechanics, and teaches journalism. He also falls in love and marries. But Hank is not popular with everyone – will someone find a way to get rid of him and send him back to his own time? Mark Twain, pseudonym of Samuel Langhorne Clemens, (1835-1910), was an American humorist, lecturer, journalist and novelist who acquired international fame for his adventure stories of boyhood, especially ""The Adventures of Tom Sawyer"" and ""The Adventures of Huckleberry Finn"" as well as for his travel narratives, especially ""The Innocents Abroad"", ""Roughing It"", and ""Life on the Mississippi"". Twain transcended the apparent limitations of his origins to become a popular public figure and one of America’s most beloved writers.",['Mark Twain'],Lindhardt og Ringhof,2020-10-29,['Fiction'],0792738624,A232HUAELH5J6V,0/0,4.0,1341187200,Story Stays With You,"This is a mostly well-written book that tells a gripping, true-life story about Arthur Conan Doyle and the case of George Edaiji, who was accused of mutilating livestock. The sentences are beautifully written, and it's obvious that the writer is perceptive and intelligent and is guiding the reader toward seeing the story in its entirety. The middle of this book lags: the story slows down perceptibly as the reader is given details of the medical profession and the state of medicine and wedding announcements and architecture and other aspects of the Victorian setting. But it's definitely worth persevering and finishing the book: the story of unjust accusation based on prejudice will stay with you, as will the fact that Doyle had more than a literary interest in justice.",2020,en
Analysing and Interpreting the Yield Curve (Wiley Finance),"Understand and interpret the global debt capital markets Now in a completely updated and expanded edition, this is a technical guide to the yield curve, a key indicator of the global capital markets and the understanding and accurate prediction of which is critical to all market participants. Being able to accurately and timely predict the shape and direction of the curve permits practitioners to consistently outperform the market. Analysing and Interpreting the Yield Curve, 2nd Edition describes what the yield curve is, explains what it tells participants, outlines the significance of certain shapes that the curve assumes and, most importantly, demonstrates what factors drive it and how it is modelled and used. Covers the FTP curve, the multi-currency curve, CSA, OIS-Libor and 3-curve models Gets you up to speed on the secured curve Describes application of theoretical versus market curve relative value trading Explains the concept of the risk-free rate Accessible demonstration of curve interpolation best-practice using cubic spline, Nelson-Siegel and Svensson 94 models This advanced text is essential reading for traders, asset managers, bankers and financial analysts, as well as graduate students in banking and finance.",['Moorad Choudhry'],John Wiley & Sons,2019-04-15,['Business & Economics'],0470821256,AM1FXJHX7J48U,0/3,5.0,1136851200,Get this without a doubt!!,It is so rare to find an author whose work is aimed at the rank and file of the finance world. Choudhry has excelled himself once again and clearly knows his work. His writing style is quite the most concise yet detailed and also quite convivial. i am quite sure he is an extremely successful person both personally and professionally.,2019,en
Harry Potter & the Prisoner of Azkaban,"Through classroom activities, wizard rock concerts, and organizations like the Harry Potter Alliance, Harry Potter fans are using creativity to positively impact the world. This collection of essays and interviews examines how playful fandom--from fanfiction to Muggle quidditch, cosplay, role-playing games, and even Harry Potter burlesque--not only reimagines the canon but also challenges consumerism, questions notions of identity, and fosters participatory culture. The contributors explore issues applicable to fan studies and performance studies at large, such as the role of performance, the nature of community, and questions of representation and ownership in the digital age. Presented in three parts, the essays discuss discrepancies between sanctioned versions of Harry Potter and fan creations, the reenactment and reinterpretation of the original narrative in fan performance, and collaborative and participatory performances that break down the boundaries between actors and audiences.",['Lisa S. Brenner'],McFarland,2015-06-11,['Literary Criticism'],B000N76ZCC,A2KBHSK5BS35BH,0/0,4.0,1274054400,Harry Potter 3: Harry Potter and the Prisoner of Azkaban,"Harry Potter #3: Harry Potter and the Prisoner of Azkaban, by J. K. Rowling""Harry Potter and the Prisoner of Azkaban"" is personally one of my least favorite Harry books, but even so, I still enjoy rereading it every so often. This book sets a lot of groundwork for the following books in the series, and is also a pretty good story.Harry and his friends are back for their third year at Hogwarts, but this year the entire wizarding world is alert and searching for an escaped murderer, Sirius Black. The Ministry of Magic and Dumbledore believe Black may be after Harry, so dementors, horrifically spooky, soulless beasts, guard the school. Black is believed to be responsible for murdering 13 people with a single curse; before he escaped the wizard prison of Azkaban, he was heard to murmur ""he's at Hogwarts"" in his sleep.While other students feel merely miserable when near dementors, Harry feels far worse, and can hear his parents being killed by Voldemort. He begs Professor Lupin, the new Defense Against the Dark Arts teacher, to show him how to ward off the dementors. Lupin is the best Defense Against the Dark Arts teacher Harry and his friends have had yet; he often brings creatures to class and shows them how to defend or attack as necessary. Lupin is one of my favorite characters in the series - I would've loved to learn from him!With Sirius Black free, and the Quidditch cup up for grabs, it's no surprise that Harry has a busy, busy year. As I said above, there are a lot of characters and details introduced in ""The Prisoner of Azkaban"" that become important as you read further in the series. The book does seem a little overly long, but Rowling does pack it full of her mix of great fantasy and action.4/5.",2015,en
Eight Cousins,"“Eight Cousins - Or, the Aunt-Hill” is a 1875 novel by American author Louisa May Alcott. The story centres around Rosy, an orphan who must adjust to her strange new life with her guardian, Uncle Alec. Once at her new home, she is confronted with an unknown family and the realities of life for contemporary women. Louisa May Alcott (1832 – 1888). was an American short story writer, novelist, and poet most famous for writing the novel “Little Women”, as well as its sequels “Little Men” and “Jo's Boys”. She grew up in New England and became associated with numerous notable intellectuals of her time, including Nathaniel Hawthorne, Ralph Waldo Emerson, Henry Wadsworth Longfellow, and Henry David Thoreau. Other notable works by this author include: ""An Old-Fashioned Girl"" (1886), and ""A Long Fatal Love Chase"" (1875). Many vintage books such as this are becoming increasingly scarce and expensive. We are republishing this volume now in an affordable, modern, high-quality edition complete with the original text and artwork.",['Louisa May Alcott'],Read Books Ltd,2015-05-11,['Fiction'],B000NPR89S,ATWPOIE890YTA,0/0,5.0,1259366400,one of the classics,"Probably the only Alcott book that I like more than Eight Cousins, is Jo's Boys. My 6th grade teacher gave me a personal reading list when I was going into 7th. Little Women was one of the books. Liked it so well that I have read every Alcott book I ever came across. You will never regret having picked up one of her books.",2015,en
The Worst-Case Scenario Survival Handbook: Holidays,"Turkey on fire? No plans for New Year's Eve? Obnoxious relatives headed your way? The authors of the best-selling The Worst-Case Scenario Survival Handbook are here to help you survive the dangers of the holiday season, from Thanksgiving to New Year's Day. Learn how to rescue someone stuck in a chimney, survive the office holiday party, and escape a runaway parade balloon. Expertly deal with a meddling parent, silence a group of carolers, and treat a tongue stuck to a frozen pole. Illustrated, step-by-step instructions guide you through these and dozens of other festive scenarios. With a helpful appendix of holiday excuses, last-minute gift ideas, and creative drink recipes for when the liquor runs out, this is truly the perfect holiday book.","['David Borgenicht', 'Joshua Piven']",Chronicle Books,2011-10-21,['Reference'],B000A3WW30,A18OBUSMXVE8R0,1/1,5.0,1238716800,If you are one of those people who find life an endless challence;this is the book for you.,"This is a little tome that will take you less than an hour to skim through,if you are one who can usually figure how to handle just about any situation; you won't be much the wiser from perusing it.If adaptation ,logically working out a problem,using initative,improvising,etc., are traits that are fairly foreign to your nature and you believe every situation calls for an instructional course or instructions----well this book was written for you. Then again;if such are your needs,this books deals with only a few challenges,and if you have any hopes of contending with the ordinary challenges of life;you're gonna need a whole lot more help than you'll find in this book.I am not really sure if the authors put this together as a put-on,or actually know people who really need this sort of help,If you are wondering what to do with this book,after reading it,the suggestions on ""How To Repurpose a Fruitcake"",may give you some ideas.",2011,en
Kim,"Een roman over een fotomodel, verwerkt in een verhalenbundel.",['J. Bernlef'],Singel Uitgeverijen,2012-08-30,['Fiction'],B000FTCJIW,A4IO0BA1CMQ0Z,1/1,5.0,1331337600,A spiritual journey,"My book club read Kim because none of us had ever read any Kipling and one of the members had heard that Kim was the Kipling to read. I did not approach the book with high expectations and expected to find the language archaic, imperialist and racist (the white man's burden, etc.). I was completely swept away by the beauty of this book and Kim's journey of the spirit and identity. Wonderful characters, great insight into the sea of humanity that is India, great respect shown to people of all faiths with Kim cast as the Friend of All the World. I highly recommend this book.",2012,en
Night And Day (Classic Books on Cassettes Collection) [UNABRIDGED],"In his life and in his music, Cole Porter was the top—the pinnacle of wit and sophistication. From the 1910s through the ‘50s, from Yale pep rallies through the Broadway triumphs of Anything Goes and Kiss Me, Kate, he delighted audiences with a glittering torrent of song: “I Get a Kick Out of You.” “Night and Day,” “Love for Sale,” and “Just One of Those Things.” The bright surface of these gems—their catchy melodies and ingenious lyrics—made them instant pop hits. Their more subtle qualities and their musical and emotional depth have made them lasting standards, among the greatest glories of the American songbook. In Cole Porter, William McBrien has thoroughly captured the creator of these songs, whose life was one not only of wealth and privilege but also of tragedy, secrecy, and courage. A prodigal young man, Porter found his aesthetic and emotional anchor in a long, loving, if sexless marriage, while continuing to maintain many discreet affairs with men. In 1937, at the height of his success, he suffered a near-fatal riding accident; his last eighteen years were marked by pain, drugs, and repeated operations on his legs, years of physical agony but unstinting artistic achievement. Here is the book that Porter’s fans have long hoped for—a life that informs the great music and lyrics though illuminating glimpses of the hidden, complicated, private man.",['William McBrien'],Vintage,2011-05-04,['Biography & Autobiography'],1556853149,A16LP6AB6C5LMZ,0/0,3.0,1268524800,An Enjoyable Quick Read,"If looking for a literary classic, this isn't it. Rather, this is a very fast read with mostly enjoyable characters. Chief Jesse Stone & his Paradise Police force each have entertaining qualities. They have a ""real"" quality about them, as well as a subtle humor. The most annoying character is Jesse's ex-wife Jenn. She's an annoying cow. We may have seen the last of her here.The plot is fairly thin. You'll know who the villain is fairly early on. There are really no surprising twists either.If you want a quick read with some very enjoyable characters, give it a shot.Alas, there won't be any more work from the talented Robert Parker. He left us 2 months ago. RIP Robert",2011,en
Thus Spoke Zarathustra: A Book for Everyone and No One (Penguin Classics),"Thus Spoke Zarathustra: A Book for All and None (German: Also sprach Zarathustra: Ein Buch für Alle und Keinen) is a philosophical novel by German philosopher Friedrich Nietzsche, composed in four parts between 1883 and 1885. Much of the work deals with ideas such as the ""eternal recurrence of the same"", the parable on the ""death of God"", and the ""prophecy"" of the Übermensch.",['Friedrich Nietzsche'],"Lulu Press, Inc",2013-03-26,['Fiction'],0140441182,A1M5N2C5D7XYAX,1/1,5.0,1292716800,A must read for anyone claiming to enjoy Thinking,"This piece of art is nothing short of prophetic. If this work didn't mark the end of a God fearing Europe, it might of found its way into the bible of future men. Nietzsche's entire work can be comprehended by reading this book alone (several times of course). It was his peak as a creative writer and philosopher. The story grabs hold of the reader and won't let go. Really. This book will transform the reader if comprehended. I recommend this book to any normal person interested in a philisophical challenge to his/her everyday worldview. Yes, even a woman might enjoy this piece despite Nietzsche's tendency to be overly masculine. I strongly recommend that you DO NOT read this book if you have a diagnosed personality disorder or any history of psychiatric hospitalization. Only a few will see through Nietzsche's eyes. When they do, they will be a better writer and philosopher because of it.",2013,en
A single pebble,"A young American engineer sent to China to inspect the unruly Yangtze River travels up through the river's gorges searching for dam sites. Pulled on a junk hauled by forty-odd trackers, he is carried, too, into the settled, ancient way of life of the people of the Yangtze -- until the interplay of his life with theirs comes to a dramatic climax.",['John Hersey'],Vintage,2019-06-26,['Fiction'],B0007I4WOK,A2B7DON0JEAXF8,4/5,5.0,1118793600,A Single Pebble by Hershey is brilliant.,"Hershey has written a small, but very powerful book. It is full of whimsey and cultural contrasts. It entertains such questions as what is true progress. Indeed, it is a great book for group discussions.",2019,en
Once Upon a Cool Motorcycle Dude,"When their teacher gives a joint storytelling assignment, a boy and a girl have different ideas of how their fairy tale should evolve. Can they agree on who will live happily ever after? With a cool motorcycle dude and a beautiful princess the possibilities are endless in this read-to-me eBook! Once upon a time there was ... a princess who loved all her beautiful ponies, a cool muscle dude who rode an awesome motorcycle. But a giant came and started stealing them! The dude came to fight the ugly, smelly giant with his mighty sword. She turned gold into thread while she cried for Buttercup, her favorite pony. And he took the princess's gold thread for payment The end! Wait a minute! That's not how it ends! Oh no? Once upon a time there was a boy and a girl who had to tell a fairy tale to the class, but they couldn't agree on the story. Will everyone live happily ever after?","[""Kevin O'Malley""]",Bloomsbury Publishing USA,2014-01-14,['Juvenile Fiction'],0802789471,A2ONAV0H09OSZY,0/1,4.0,1257724800,Cool,"I have a bike. I also have kids. Now, if my kids produce kids, I'm prepared.",2014,en
Hell's Kitchen,"The official companion cookbook from the enormously popular Fox cooking competition show. Hell's Kitchen debuted in 2005 on Fox and is currently in in its 14th season. On the show, one explosive, charismatic Head Chef oversees 16 chefs as they battle it out to win a job as Head Chef of top restaurant with a total prize value of $250,000. In each episode the chefs are put to the test in a skill's-based challenge, and must follow it up by completing dinner service at the exclusive Hell's Kitchen restaurant set in Los Angeles. Now, in their first ever cookbook, readers will learn how to recreate over one hundred of the contestant's delectable, restaurant-worthy dishes in their own home and will be given access to the recipes, menus, and behind-the-scenes secrets that they've been craving!","[""Hell's Kitchen""]",Grand Central Life & Style,2015-10-27,['Cooking'],1888451211,A3BMGL4ERZVJMZ,2/2,5.0,1039737600,Great situation comedy - as dark as it comes!,"Whoah! Talk about black comedy!Her earlier series featuring radio newsman Sam Ridley displays a flair for the comic side of mystery fiction, but Niles truly comes into her own with this romp through present day Manhattan.The dark situation comedy is peopled with an unlikely mix of characters: a lovely con artist who has been carefully taught by her British father in all the tricks of the trade; a writer enduring an apparent life long attack of writers' block, reduced to composing inserts for fortune cookies; a TV news reporter struggling to hold on to her career while working under an editor committed to sexual harassment as a way of life; a distraught midwestern mother searching for her missing son & daughter-in-law, assisted by a sympathetic New York cop; and a delightful cast of supporting characters too numerous to list here.All the plot lines converge on the issue of finding a Manhattan apartment to sublet at reasonable cost, and the presence of a homicidal maniac who entices his victims to his Greenwich Village apartment through newspaper classifieds.The book drew me in in wonderful ""can't put it down"" style - and until only 2-3 pages before the hilarious conclusion, I had no idea whatever how events would conclude. I just love it when that happens!",2015,en
Thick as Thieves,"In this tantalizing thriller from a #1 New York Times bestselling author, a woman uncovers lifelong secrets as she searches for the truth behind her father's involvement in a heist gone wrong. Twenty years ago in the dead of night, four seemingly random individuals pulled the ultimate heist and almost walked away with half a million dollars. But by daybreak, their plan had been shot to hell. One of them was in the hospital. One was in jail. One was dead. And one got away with it. Arden Maxwell, the daughter of the man who disappeared all those years ago—presumably with the money, after murdering his accomplice—has never reconciled with her father's abandonment of her and her sister. After countless personal setbacks she decides to return to her family home near mysterious Caddo Lake, and finally get answers to the many questions that torment her. Little does she know, two of her father's co-conspirators—a war hero and a corrupt district attorney—are watching her every move. Ledge Burnet, a rebellious teen at the time of the heist, evaded his jail sentence by enlisting in the army. Now he's back in town to care for his ailing father—and to keep his eye on the county's corrupt district attorney, whom he suspects was the real murderer. Although the two are bound to silence because of the crime they committed together, each has spent years waiting and hoping that the other will make a fatal misstep. But the arrival of their elusive accomplice's daughter, Arden, who may know more about the missing money than she's telling, sets them both on red alert. She ignites Ledge's determination to expose the D.A.'s treachery . . . and sparks a desire he wishes to deny.",['Sandra Brown'],Grand Central Publishing,2020-08-25,['Fiction'],0425152596,A3DVXTSV2QIPQX,0/0,5.0,1345334400,Fantastic,This is a fantastic book. I could not put it down. I would highly recommend this to anyone. It is film hour in book form with great characters and a compelling plot. Mr Quinn is a great talent and I eagerly await his next book! Please publish something else soon!,2020,en
House,"From the nationally beloved co-host of the #1 hit show Home Town comes the quintessential celebration of home. Imagine a house's early days as a home: A young family builds a picket fence and plants flowers in its yard, children climb the magnolia tree and play the piano in the living room, and there is music inside the house for many happy years. But what will happen when its windows grow dark, its paint starts to crumble, and its boards creak in the winter wind? The house dreams of a family who will love it again...and one day, a new story will emerge from within its walls. In this modern classic, Erin Napier’s lyrical prose and Adam Trest’s warm and comforting paintings deeply evoke the soul of a house cherishing the seasons of life and discovering the joy of rebirth.",['Erin Napier'],"Little, Brown Books for Young Readers",2022-05-24,['Juvenile Fiction'],0753817225,A3FIE8CYRSUQP1,2/2,5.0,1090713600,An exceptionally interesting book,"I picked up this book by chance and then I couldn't put it down. It paints a wonderful picture of life after the Second World War of various people connected with a mansion in England. It's an &quot;upstairs and downstairs&quot; type of story where you get to feel how life was for each of the characters through their diaries and letters. There is even a child's contribution throughout the story complete with realistic spelling mistakes appropriate for her age! The story is at once complicated and simple, but never boring. The author's vocabulary and the way each of the characters &quot;speak&quot; adds much to the authentic atmosphere. I can't wait to read another book by this author! If it's even half as good as this one, I'll enjoy it.",2022,en
Little Women,"Op eigen wieken is het vervolg op Louisa May Alcotts meesterwerk Little Women, in het Nederlands uitgegeven als Onder moeders vleugels. In dat boek volgen we de zussen Alcott, die losjes zijn gebaseerd op de schrijfster zelf en haar drie zussen. In Op eigen wieken zijn de jonge zussen uit het eerste deel opgegroeid. De kwesties waar ze mee worstelen hebben nu een ander karakter dan in hun kindertijd, en elk op hun eigen manier gaan de zussen om met het vinden van werk, een partner en het krijgen van kinderen. Na Op eigen wieken volgen nog twee delen over de levens van de familie Alcott. Het verhaal is vele malen verfilmd en op de planken gebracht. Louisa May Alcott (1832-1888) schreef ook voor volwassenen, maar had vooral veel succes als schrijfster van kinderboeken. Haar bekendste werk is Little Women, een autobiografische roman die nog twee vervolgboeken kreeg, en talloze malen bewerkt is tot toneelstukken en films. Alcott was ook politiek zeer actief en maakte zich onder andere sterk voor vrouwenrechten en afschaffing van de slavernij.",['Louisa May Alcott'],Lindhardt og Ringhof,2018-12-19,['Fiction'],9626341947,A9QA5RNHZOZCV,0/0,5.0,1357689600,Wonderful book!,"I read this classic as a girl, but enjoyed it just as much as an adult. Great writing and a lovely story.",2018,en
